"tree" "sp" "Y" "X" "elev" "fullname" "mlim" "DBH" "FL2010" "FL2014" "FL2015" "dead" "mort" "Xm" "Ym" "FL" "N" "E" "S" "W" "seedlings" "NFC" "sBA" "GI" "HF" "GI_II" "HF_II" "FL_inst" "GI_Tor" "HF_Tor" "GI_III" "HF_III" "GI_IV"
"13" "11KDACU18" "Dacu" 5.855266667 117.9479167 39.4435 "Dipterocarpus_acutangulus" 40 98 0 NA NA "DEAD2014" 1 715.7446 244.774 NA NA NA NA NA NA 11.2236875161423 80.4131779501345 227.854719599257 884.219034790335 2.32504815917609 9.02264321214628 NA 2.32507319878771 9.14725832240639 0.0212658955507583 0.140487229391983 2.98665366987211
"14" "11KDACU19" "Dacu" 5.854966667 117.94785 47 "Dipterocarpus_acutangulus" 40 122.5 0 1 0 "0" 0 708.416 211.5946 NA NA NA NA NA NA 18.5476740657959 80.4131779501345 149.576525599003 1391.49851603069 1.22103286203267 11.3591715594342 NA 1.22106173657871 11.5265322896901 0.010822709846516 0.182770147134011 1.74239219515521
"15" "11KDACU2" "Dacu" 5.855083333 117.9469333 36 "Dipterocarpus_acutangulus" 40 52 1 0 0 "0" 0 606.9034 224.3216 NA 5 2 6 3 16 9.21555021304908 80.4131779501345 154.471673011404 492.917706671526 2.97060909637315 9.47918666676012 NA 2.97064365386926 9.64132263552186 0.0363518482541239 0.121889952108883 4.03719080681066
"16" "11KDACU20" "Dacu" 5.855483333 117.9480667 29 "Dipterocarpus_acutangulus" 40 78 1 1 1 "0" 0 732.3111 268.7559 NA 11 2 3 3 19 9.93141591721672 80.4131779501345 145.595938453249 455.78182442678 1.86661459555448 5.84335672342026 NA 1.86663750217798 5.94150992811426 0.0223434885893499 0.0878889156008854 2.4332995380297
"17" "11KDACU21" "Dacu" 5.85545 117.94815 34 "Dipterocarpus_acutangulus" 40 71 1 1 1 "0" 0 741.5397 265.0863 NA NA NA NA NA NA 9.40470093782934 80.4131779501345 153.620784396482 474.517869849325 2.16367301966876 6.68335027956796 NA 2.1636972589783 6.78424561969888 0.0299465431102559 0.104688326091681 2.62908172743434
"18" "11KDACU22" "Dacu" 5.855466667 117.9482333 36.54807 "Dipterocarpus_acutangulus" 40 40.6 1 1 0 "0" 0 750.759 266.9445 NA NA NA NA NA NA 9.40470093782934 80.4131779501345 78.6054704225632 298.113388762679 1.936095330605 7.34269430449948 NA 1.93612007024028 7.44097766632385 0.0229359261313511 0.112554474176072 2.32637190172586
"19" "11KDACU23" "Dacu" 5.855683333 117.9481 27.91765 "Dipterocarpus_acutangulus" 40 120 1 0 1 "0" 0 735.9605 290.8734 NA 6 10 8 16 40 22.4165547444791 80.4131779501345 113.762853838603 641.231766863762 0.948023781988356 5.34359805719802 NA 0.948043526462576 5.42181456960052 0.0115688349257851 0.0839625315501409 2.7024344085866
"20" "11KDACU24" "Dacu" 5.8558 117.9482667 27 "Dipterocarpus_acutangulus" 40 57.6 1 0 0 "0" 0 754.3946 303.8029 NA NA NA NA NA NA 22.5163943175153 80.4131779501345 50.0935265199072 354.075446820347 0.8696792798595 6.14714317396435 NA 0.869698164566503 6.21351537448832 0.00890684077706915 0.0993667316664209 1.28680182047203
"21" "11KDACU3" "Dacu" 5.855183333 117.9469167 36 "Dipterocarpus_acutangulus" 40 100 0 0 0 "0" 0 605.0469 235.3742 NA NA NA NA NA NA 7.6002539167639 80.4131779501345 309.974213968729 761.904226734389 3.09974213968729 7.61904226734389 NA 3.09977590987262 7.76834376623836 0.0417612710236132 0.101165663574942 3.33683032096895
"22" "11KDACU4" "Dacu" 5.855033333 117.9468667 31 "Dipterocarpus_acutangulus" 40 81.4 1 0 1 "0" 0 599.5392 218.7813 NA NA NA NA NA NA 1.84890259882336 80.4131779501345 2023.26084697204 2586.48209130971 24.8557843608359 31.774964266704 NA 24.8558214957711 31.9452909295989 0.313243261101037 0.407043111643547 25.4671691040305
"23" "11KDACU5" "Dacu" 5.855166667 117.9469833 38 "Dipterocarpus_acutangulus" 40 56.2 1 0 0 "0" 0 612.4235 233.544 NA 6 3 2 5 16 10.7482168646271 80.4131779501345 138.524161866641 503.586537919332 2.46484273784059 8.96061455372476 NA 2.46487479740583 9.11077216872093 0.0265275074995624 0.113823158356437 4.44811747930336
"24" "11KDACU6" "Dacu" 5.85525 117.94705 38 "Dipterocarpus_acutangulus" 40 140 1 0 1 "0" 0 619.7926 242.7695 NA NA NA NA NA NA 11.8073487735919 80.4131779501345 186.891396845971 900.232688324956 1.33493854889979 6.4302334880354 NA 1.33496764501355 6.56879042130275 0.0174034529894087 0.0851950039175847 1.94611226751169
"25" "11KDACU7" "Dacu" 5.8554 117.94685 32.30812 "Dipterocarpus_acutangulus" 40 100 1 1 1 "0" 0 597.622 259.3156 NA NA NA NA NA NA 12.3746998804846 80.4131779501345 202.214317838636 877.312337340847 2.02214317838636 8.77312337340847 NA 2.02217606778417 8.89855570523038 0.018387892404778 0.100227309433895 2.35999886398833
"26" "11KDACU8" "Dacu" 5.855483333 117.94695 32 "Dipterocarpus_acutangulus" 40 110 1 0 1 "0" 0 608.6777 268.5473 NA NA NA NA NA NA 14.4032214237181 80.4131779501345 143.568886387883 1689.76265405995 1.3051716944353 15.3614786732723 NA 1.30520060747059 15.4761823289814 0.0127215288166168 0.194809813745258 1.57202068033295
"27" "11KDACU9" "Dacu" 5.85545 117.94675 29.24125 "Dipterocarpus_acutangulus" 40 130 1 0 1 "0" 0 586.5413 264.8248 NA NA NA NA NA NA 12.3746998804846 80.4131779501345 173.183373247508 740.557459265406 1.3321797942116 5.69659584050312 NA 1.33221493893829 5.81900029457174 0.0136321534686383 0.0677336692006633 1.57429141108744
