"tree" "sp" "Xm" "Ym" "DBH" "GI" "LGI" "ABN" "sBA" "sBA50" "HFI" "LHFI" "LSD" "FL" "AC" "sAC" "elev" "H" "S" "J" "Ha" "dist" "Ht" "Fsize" "Fcpo" "seedlings"
"85" "12KDacu37" "Dacu" 579.3369 157.9411 87.8 61.6665038666567 4.13782707628597 111 804.064949312383 799.666240504477 3.59200054334849 1.52431577734228 0.675118920355414 NA 0.648821965810894 0.548760181547822 24.73661 1.56573065299613 6 0.972843152817331 12.2325511351872 0 1.80909292556764 101.091890539608 87.7844320198683 5
"88" "12KDacu4" "Dacu" 666.0355 178.3561 120 118.866523469655 4.78637881929284 111 804.064949312383 799.666240504477 5.54198290737301 1.87824031636026 1.15981801701312 NA 0.679869177759986 0.553681969412028 48.13583 1.04509380326945 4 0.753875823620308 9.30080776765893 0 1.21035015523148 101.192657034866 119.987427220115 9
"89" "12KDacu40" "Dacu" 614.5862 47.4437 60 33.3453271825355 3.53646597397177 111 804.064949312383 799.666240504477 2.34005524289728 1.20598734664143 0.472820656326588 NA 0.507751329142926 0.458984790742615 30.82616 0.822265337328788 4 0.748458164732211 6.92285263214584 0 1.3346999322373 101.330078435887 59.997575640585 6
"99" "12KDacu9" "Dacu" 695.6232 136.0258 154.4 210.285965591968 5.3532125030691 111 804.064949312383 799.666240504477 3.33734375567355 1.46726212287745 0.959799024766849 NA 0.60761894287073 0.51733117507706 42 1.19225893177706 4 0.860033024165166 8.29299362013229 0 1.42940197120027 101.316906059342 154.399366171617 2
"100" "12LDacu1" "Dacu" 865.2697 208.1742 140 36.1461937008222 3.61486130833246 111 804.064949312383 799.666240504477 4.04021489738198 1.61744871954373 0.712060095289533 NA 0.756820339583414 0.527074419376874 37.9981 0.929577688715925 4 0.670548560815745 6.81811311976991 0 1.18994106389249 101.330297579639 139.996867603421 2
"101" "12LDacu10" "Dacu" 785.9464 193.2993 153 140.719165248601 4.95384738983457 111 804.064949312383 799.666240504477 5.78595097421344 1.91485444178738 1.03038675649631 NA 0.774486478078755 0.555766856106718 38 1.22776682135218 5 0.762854417599322 9.52636793582019 0 1.36807490454278 101.305908598448 152.999245871706 29
"106" "12LDacu5" "Dacu" 809.9971 158.3303 110 308.72701837172 5.73569132363799 111 804.064949312383 799.666240504477 7.04057603211928 2.08450072641042 1.35202727996736 NA 0.719732889446699 0.527620416889046 46 1.61766679996337 6 0.902837031278707 12.5199927623687 0 1.67128563393936 101.385717511519 109.98237988848 6
"112" "8PDacu1" "Dacu" 1600.3404 898.5604 82.3 0.360763977563091 0.308046290234655 111 804.064949312383 799.666240504477 4.3909225192498 1.68471652412544 0.0393627190913147 NA 0.507336681363149 0.586625247718462 29 1.73286795139986 6 2.5 13.3683435477963 0 2.13338193026454 100.353341412332 82.2877931456002 0
"122" "10IDcau01" "Dcau" 253.9654 524.0732 100 14.9798692960256 2.77132976108225 181 874.943811324771 826.0616192366 4.62008249212297 1.72634634211157 0.510288423997084 NA 0.702263576295476 0.376401412338357 15 1.58347834178003 7 1.14223817552056 11.3903658969247 0 1.83427020613699 84.5947546192417 99.9856036553444 0
"134" "10KDcau5" "Dcau" 696.7692 552.4585 80 8.29353989788778 2.22931952415307 181 874.943811324771 826.0616192366 3.53530748105335 1.51189288304449 0.3293758004417 NA 0.626960576569033 0.503439702916136 15 1.73265872019921 7 1.57713393348237 12.1336505968699 0 2.00288304109065 85.3878440913313 79.9813641383996 0
