"tree" "sp" "type" "Y" "X" "X50N" "Y50N" "X50Nc" "Y50Nc" "elev" "side" "fullname" "mlim" "dden" "fsen" "habit" "DBH" "FL2010" "FL2014" "FL2015" "dead" "mort" "Xm" "Ym" "Sum_FF" "Q1" "Q2" "Q3" "Q4" "halfLife" "seedlings" "Sum_FF2" "Sum_FF3"
"29" "11LDACU10" "Dacu" "Subcanopy" 5.8551 117.9489333 605050.0421 647275.7976 604746.0031 647215.1126 32 "A2" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 67 0 0 1 "0" 0 828.3268 226.538 35.3316567604066 NA NA NA NA 3.57780835408274e-09 0 0.527338160603084 0.00478698594394397
"30" "11LDACU11" "Dacu" "Subcanopy" 5.85515 117.9496667 605131.2298 647281.4627 604827.1908 647220.7777 42 "A2" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 64 0 0 0 "0" 0 909.5145 232.2031 12.4176204213401 NA NA NA NA 6.2494635923837e-12 0 0.194025319083439 0.00174645533633947
"31" "11LDACU2" "Dacu" "Subcanopy" 5.85515 117.9487833 605033.4257 647281.2974 604729.3867 647220.6124 35 "A2" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 40 0 0 0 "0" 0 811.7104 232.0378 25.8949599797716 NA NA NA NA 1.075708725396e-07 0 0.64737399949429 0.00605403486396522
"32" "11LDACU3" "Dacu" "Subcanopy" 5.8554 117.9485833 605011.2364 647308.8991 604707.1974 647248.2141 40 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 123 1 0 1 "0" 0 789.5211 259.6395 112.713520581886 17 11 13 10 15129.0573836048 51 0.916370086031596 0.0101441301791794
"33" "11LDACU4" "Dacu" "Subcanopy" 5.855533333 117.9485 605001.9891 647323.6243 604697.9501 647262.9393 40 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 80 1 0 1 "0" 0 780.2738 274.3647 115.877999288374 NA NA NA NA 6400.21602904539 0 1.44847499110467 0.0143193557536017
"34" "11LDACU5" "Dacu" "Subcanopy" 5.855666667 117.94855 605007.4999 647338.3746 604703.4609 647277.6896 39 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 109 1 0 1 "0" 0 785.7846 289.115 125.432798104896 NA NA NA NA 11881.181065789 0 1.15075961564125 0.012956168467466
"35" "11LDACU6" "Dacu" "Subcanopy" 5.855833333 117.9485833 605011.1555 647356.8069 604707.1165 647296.1219 39 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 93.2 1 0 0 "0" 0 789.4402 307.5473 73.0728121953621 NA NA NA NA 8686.26239265408 0 0.784043049306461 0.00832803174539529
"36" "11LDACU7" "Dacu" "Subcanopy" 5.85595 117.9487 605024.0539 647369.727 604720.0149 647309.042 37 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 100 0 0 1 "0" 0 802.3386 320.4674 78.5612709251514 NA NA NA NA 0.0326060005816168 0 0.785612709251514 0.00904935004590154
"37" "11LDACU8" "Dacu" "Subcanopy" 5.856083333 117.9487667 605031.4136 647384.4803 604727.3746 647323.7953 38 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 57 0 1 0 "0" 0 809.6983 335.2207 32.6014873988946 NA NA NA NA 0.0584789596229867 0 0.571955919278852 0.0073856589433766
"38" "11LDACU9" "Dacu" "Subcanopy" 5.856 117.9488833 605044.3383 647375.2891 604740.2993 647314.6041 33 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 61 1 0 0 "0" 0 822.623 326.0295 18.9869366481938 0 0 0 0 3721.00000002093 0 0.311261256527767 0.0031809284971399
